"SYMBOL","Log2FoldChange","Padj","change"
"TSPAN6",1.10522672079446,2.79742653102506e-22,"UP"
"TNMD",-1.43010847308948,0.000155927719540694,"DOWN"
"DPM1",0.74730723536344,9.830126684649e-19,"NOT"
"SCYL3",0.183000408453235,0.0110291147991465,"NOT"
"C1orf112",2.22939226078016,5.12281362172424e-117,"UP"
"FGR",-2.44337792117541,3.83590234958628e-54,"DOWN"
"CFH",-0.806213757232301,3.35942727522957e-06,"NOT"
"FUCA2",0.0305867317885905,0.785558197403329,"NOT"
"GCLC",3.37642410891497,3.96500746929273e-60,"UP"
"NFYA",0.52869036154155,6.59929679473794e-13,"NOT"
"STPG1",0.157355614617872,0.138794717126271,"NOT"
"NIPAL3",-0.81171528961021,1.15092186166839e-22,"NOT"
"LAS1L",0.563373973116431,4.73634666492977e-16,"NOT"
"ENPP4",-2.19010222268452,1.32980373609377e-36,"DOWN"
"SEMA3F",1.05032361153093,7.13259694773936e-19,"UP"
"CFTR",-2.57210988181755,3.77339400317642e-21,"DOWN"
"ANKIB1",0.55518419295347,1.07783118659178e-10,"NOT"
"CYP51A1",-0.509511527275537,0.000287412414082319,"NOT"
"KRIT1",0.529822725664603,7.44755575938041e-09,"NOT"
"RAD52",0.65285005863576,1.39754108717764e-10,"NOT"
"MYH16",2.39446302975494,9.37172768372662e-27,"UP"
"BAD",0.122714921345594,0.199386523940606,"NOT"
"LAP3",-0.804199669337807,7.77602115975012e-14,"NOT"
"CD99",0.0701515765926401,0.548377594372617,"NOT"
"CD99",0.0701515765926401,0.548377594372617,"NOT"
"HS3ST1",1.12237422745425,1.29232943084429e-07,"UP"
"AOC1",1.41602667684775,1.34882105774894e-06,"UP"
"WNT16",3.27401725702957,1.5645035317468e-25,"UP"
"HECW1",2.35940983857641,6.39684931895345e-29,"UP"
"MAD1L1",0.166808989239434,0.116796226017346,"NOT"
"LASP1",-0.156937340802105,0.0466614069286659,"NOT"
"SNX11",0.106666484573176,0.226025144107412,"NOT"
"TMEM176A",-0.201968584551917,0.296849339445585,"NOT"
"M6PR",0.108740000942178,0.240878527461347,"NOT"
"KLHL13",2.57988444621072,2.78376680326822e-36,"UP"
"CYP26B1",0.0977572730278007,0.690793286297144,"NOT"
"ICA1",-0.569190016757147,0.00530776265487664,"NOT"
"DBNDD1",1.03249914957772,1.51658128349015e-09,"UP"
"ALS2",0.0385978807776402,0.679073669382812,"NOT"
"CASP10",-0.976796906359271,3.66003697753783e-14,"NOT"
"CFLAR",-1.51525724841558,3.47509847369207e-61,"DOWN"
"TFPI",-1.94832204200564,2.64320639987422e-22,"DOWN"
"NDUFAF7",0.627890881416392,2.41345686422145e-18,"NOT"
"RBM5",-0.521804386176353,6.54791349842903e-12,"NOT"
"MTMR7",-0.28506271980306,0.176952779359611,"NOT"
"SLC7A2",-1.44904979261637,4.86197516666874e-09,"DOWN"
"ARF5",0.789753347691443,7.59591796792058e-20,"NOT"
"SARM1",-0.602833457127807,1.36016971030253e-05,"NOT"
"POLDIP2",0.783098497486855,2.57153599562148e-25,"NOT"
"PLXND1",-1.49900488733887,1.38008801529742e-35,"DOWN"
"AK2",0.291197664527621,0.000328137984870002,"NOT"
"CD38",-0.983527744234084,6.57699723389378e-08,"NOT"
"FKBP4",2.13696924619925,3.61805898795169e-84,"UP"
"KDM1A",0.949514929601734,8.01741653484746e-35,"NOT"
"RBM6",-0.245136305758996,0.0191264674079711,"NOT"
"CAMKK1",0.132135343565049,0.370959152844437,"NOT"
"RECQL",0.443460919957956,3.0787611869731e-05,"NOT"
"VPS50",0.00628274968646433,0.952485272994523,"NOT"
"HSPB6",-3.61006492527625,4.36361962853612e-69,"DOWN"
"ARHGAP33",1.24689814894708,1.48568499126932e-12,"UP"
"NDUFAB1",0.761204337411305,1.5396352237679e-17,"NOT"
"PDK4",-3.96703951512313,6.03875725037654e-61,"DOWN"
"SLC22A16",-0.0948111087276777,0.763152693808782,"NOT"
"ZMYND10",-3.04929757274785,4.77202329734674e-26,"DOWN"
"ABCB5",-0.277581484996931,0.488287390600776,"NOT"
"ARX",-0.275377122033906,0.52821627398912,"NOT"
"SLC25A13",1.09446082375051,9.12707042840294e-34,"UP"
"ST7",-1.12175391143259,7.65928055827688e-57,"DOWN"
"CDC27",0.331190718305888,4.75788155697911e-07,"NOT"
"SLC4A1",-3.07090206966279,5.11244073713408e-22,"DOWN"
"CALCR",-0.213202664657362,0.386109049508882,"NOT"
"HCCS",0.526122431747499,1.02302728953494e-09,"NOT"
"DVL2",0.784515863931515,1.31594278387605e-17,"NOT"
"PRSS22",1.92394826023573,8.65457226870938e-20,"UP"
"UPF1",0.399918609496636,4.24099668453385e-06,"NOT"
"SKAP2",-0.80511818195878,2.65804242869719e-19,"NOT"
"SLC25A5",0.903914298596126,4.41560290811578e-16,"NOT"
"MCUB",0.252733530308681,0.0490100724309759,"NOT"
"HOXA11",6.43436477319482,1.91252107527106e-81,"UP"
"POLR2J",0.90984542676786,1.00926179629145e-22,"NOT"
"DHX33",0.861860821449607,3.51808811016679e-22,"NOT"
"MEOX1",-0.180045401858548,0.570580048164218,"NOT"
"THSD7A",-0.934482465577076,0.000524755425384924,"NOT"
"LIG3",1.05942630456749,8.1380120526146e-30,"UP"
"RPAP3",0.782002460905158,4.49579352197852e-31,"NOT"
"ACSM3",-1.61580015768206,1.39251813703081e-15,"DOWN"
"REXO5",1.30869378989629,8.27231718055637e-28,"UP"
"CIAPIN1",0.519879992680401,3.5562715851027e-10,"NOT"
"SPPL2B",0.629873232081876,4.14136528163863e-10,"NOT"
"FAM214B",-0.357445951194429,0.00190215475028583,"NOT"
"COPZ2",0.857423185539743,1.27357525648853e-07,"NOT"
"PRKAR2B",-0.881538275183069,7.38658358242471e-07,"NOT"
"MSL3",0.0404254875652606,0.632521579471909,"NOT"
"CREBBP",-0.129190308876614,0.171292443761358,"NOT"
"TSPOAP1",-0.59185697089038,0.00108926828005035,"NOT"
"MPO",-1.56713814659968,5.56460812815287e-14,"DOWN"
"PON1",-0.981596735145975,0.00205132307000417,"NOT"
"GCFC2",0.501876257916323,1.03646470239768e-11,"NOT"
"WDR54",0.52848308994247,1.05264149598793e-05,"NOT"
"CROT",0.758360019210201,1.05825181078443e-08,"NOT"
"ABCB4",0.45514895897459,0.0125011275544077,"NOT"
"KMT2E",-0.553593095164162,1.37128000021819e-13,"NOT"
"RHBDD2",-0.309053914847583,0.00113041274229119,"NOT"
"SOX8",0.463124515897049,0.12090335542046,"NOT"
"IBTK",-0.375177002191387,9.24438752650715e-08,"NOT"
"ZNF195",0.440430822549432,2.53946698869964e-07,"NOT"
"MYCBP2",-0.198033300623494,0.0916291831948754,"NOT"
"FBXL3",-0.827485284503883,2.07445683830943e-25,"NOT"
"ITGAL",-1.93441924707425,2.41077723191008e-25,"DOWN"
"PDK2",-0.570721525369721,5.51436592659739e-11,"NOT"
"ITGA3",-0.496887644053147,0.0179709135043392,"NOT"
"ZFX",0.144508657097937,0.176632150440991,"NOT"
"LAMP2",0.460280387499987,9.51267558600363e-08,"NOT"
"ITGA2B",-0.745778663705864,0.000157053968204906,"NOT"
"ASB4",-1.15533383820714,3.35709291677892e-05,"DOWN"
"GDE1",-0.276379596145923,0.000929952047629621,"NOT"
"C19orf60",0.6407717554363,4.56862214377659e-08,"NOT"
"CRLF1",0.844329023024224,0.00127492013931707,"NOT"
"OSBPL7",-0.275287985595879,0.0485454277290221,"NOT"
"TMEM98",-0.762287854098981,6.30194532440976e-08,"NOT"
"YBX2",4.54159552869582,2.12993255929977e-69,"UP"
"KRT33A",7.53982168599272,3.88872155467337e-58,"UP"
"MAP3K14",-0.84695267508077,4.43450738202619e-11,"NOT"
"ABCC8",-0.859944737239524,0.0340374383982921,"NOT"
"CACNG3",0.293517572255255,0.639841555866218,"NOT"
"TMEM132A",3.19364304207459,4.06591055498319e-132,"UP"
"AP2B1",-0.338203660391208,0.000474190666326343,"NOT"
"TAC1",1.2034009930489,0.0723028481255106,"NOT"
"ZNF263",0.124266598858016,0.0706286628429384,"NOT"
"CX3CL1",-1.11968497376043,1.26195533541775e-09,"DOWN"
"SPATA20",0.57027458260706,9.01250556246376e-07,"NOT"
"CACNA1G",-0.07596721346161,0.790697082706714,"NOT"
"TNFRSF12A",-0.200451498549084,0.336139767927617,"NOT"
"DLX6",8.10564411938206,2.77911116043129e-162,"UP"
"MAP3K9",0.310586240994532,0.0197609118966478,"NOT"
"RALA",-0.310155654285125,3.45447790500702e-05,"NOT"
"BAIAP2L1",1.13633677019185,8.3957128759302e-33,"UP"
